	Language	Subdomain	Word	Source	Concept	Abreviation	Representation	Complete_representation	Complexity_score
493	Aari	grandparents	aka	"Sommerschuh, Julian Jasper. ""Whatever Happened to Respect? Values and Change in a Southwest Ethiopian (Aari) Community."" PhD diss., University of Cambridge, 2019."	grandparent	"Gr;Pr"	grandparent(x, y) ↔ ∃z PARENT(x, z) ∧ PARENT(z, y)	grandparent(x, y) ↔ ∃z PARENT(x, z) ∧ PARENT(z, y)	1
1404	Aari	siblings	ishmi	"Sommerschuh, Julian Jasper. ""Whatever Happened to Respect? Values and Change in a Southwest Ethiopian (Aari) Community."" PhD diss., University of Cambridge, 2019."	elder brother	"El;Br"	elderbrother(x, y) ↔ brother(x, y) ∧ OLDER(x, y)	elderbrother(x, y) ↔ brother(x, y) ∧ OLDER(x, y) {brother(x, y) ↔ ∃z son(x, z) ∧ PARENT(z, y)}	2
1405	Aari	siblings	kanni	"Sommerschuh, Julian Jasper. ""Whatever Happened to Respect? Values and Change in a Southwest Ethiopian (Aari) Community."" PhD diss., University of Cambridge, 2019."	younger brother	"Yn;Br"	youngerbrother(x, y) ↔ brother(x, y) ∧ YOUNGER(x, y)	youngerbrother(x, y) ↔ brother(x, y) ∧ YOUNGER(x, y) {brother(x, y) ↔ ∃z son(x, z) ∧ PARENT(z, y)}	2
1406	Aari	siblings	mitshi	"Sommerschuh, Julian Jasper. ""Whatever Happened to Respect? Values and Change in a Southwest Ethiopian (Aari) Community."" PhD diss., University of Cambridge, 2019."	elder sister	"El;Ss"	eldersister(x, y) ↔ sister(x, y) ∧ OLDER(x, y)	eldersister(x, y) ↔ sister(x, y) ∧ OLDER(x, y) {sister(x, y) ↔ ∃z daughter(x, z) ∧ PARENT(z, y)}	2
1407	Aari	siblings	inani	"Sommerschuh, Julian Jasper. ""Whatever Happened to Respect? Values and Change in a Southwest Ethiopian (Aari) Community."" PhD diss., University of Cambridge, 2019."	younger sister	"Yn;Ss"	youngersister(x, y) ↔ sister(x, y) ∧ YOUNGER(x, y)	youngersister(x, y) ↔ sister(x, y) ∧ YOUNGER(x, y) {sister(x, y) ↔ ∃z daughter(x, z) ∧ PARENT(z, y)}	2
1408	Adyghe	siblings	шы	Wiktionary	brother	Br	brother(x, y) ↔ ∃z son(x, z) ∧ PARENT(z, y)	brother(x, y) ↔ ∃z son(x, z) ∧ PARENT(z, y) {son(x, y) ↔ CHILD(x, y) ∧ MALE(x)}	2
1409	Adyghe	siblings	шыпхъу	Wiktionary	sister	Ss	sister(x, y) ↔ ∃z daughter(x, z) ∧ PARENT(z, y)	sister(x, y) ↔ ∃z daughter(x, z) ∧ PARENT(z, y) {daughter(x, y) ↔ CHILD(x, y) ∧ FEMALE(x)}	2
0	Afrikaans	cousins	neef	Wiktionary	male cousin	"Pa;Sb;So"	"Pa;Sb;So"	"Pa;Sb;So"	-
1	Afrikaans	cousins	niggie	Wiktionary	female cousin	"Pa;Sb;Da"	"Pa;Sb;Da"	"Pa;Sb;Da"	-
293	Afrikaans	grandchildren	kleinkind	Wiktionary	grandchild	"Gr;Ch"	grandchild(x, y) ↔ ∃z CHILD(x, z) ∧ CHILD(z, y)	grandchild(x, y) ↔ ∃z CHILD(x, z) ∧ CHILD(z, y)	1
294	Afrikaans	grandchildren	kleinseun	Wiktionary	grandson	"Gr;So"	grandson(x, y) ↔ ∃z son(x, z) ∧ CHILD(z, y)	grandson(x, y) ↔ ∃z son(x, z) ∧ CHILD(z, y) {son(x, y) ↔ CHILD(x, y) ∧ MALE(x)}	2
