	Language	Complexity	CommunicativeCost
0	Aari	9	3,93E+10
16	Basque	12	0,253525196
54	Ido	22	0,251559072
157	Volapük	22	0,251559072
120	Quechua	12	0,250518228
36	Esperanto	20	0,249811427
34	Dutch	18	0,24975638
2	Afrikaans	17	0,249743155
45	German	17	0,249743155
46	Greek	17	0,249743155
13	Asturian	16	0,249645881
17	Belarusian	16	0,249645881
24	Catalan	16	0,249645881
31	Czech	16	0,249645881
43	Galician	16	0,249645881
99	Norman	16	0,249645881
119	Portuguese	16	0,249645881
124	Russian	16	0,249645881
159	Welsh	16	0,249645881
33	Danish	23	0,248370917
6	Aleut	31	0,248262257
122	Romanian	14	0,248183862
135	Slovene	15	0,247231797
5	Albanian	18	0,244088564
118	Polish	19	0,241574408
85	Macedonian	16	0,241426733
134	Slovak	12	0,241399178
10	Armenian	19	0,240066365
53	Icelandic	22	0,23996142
79	Latvian	16	0,236075575
106	Occitan	10	0,234421191
103	Norwegian	10	0,230344827
60	Italian	24	0,228237319
80	Lithuanian	8	0,228055506
82	Lower Sorbian	8	0,228055506
127	Sardinian	8	0,228055506
102	Northern Sami	22	0,226944706
41	French	22	0,213051572
136	Spanish	24	0,213029176
91	Maori	19	0,20530131
52	Hungarian	28	0,182044124
87	Malayalam	61	0,180028461
49	Hawaiian	12	0,153567229
35	English	18	0,147664455
50	Hebrew	18	0,145394714
164	Yiddish	15	0,142941826
59	Irish	14	0,142743774
116	Plautdietsch	14	0,142743774
37	Estonian	19	0,142162279
129	Scottish Gaelic	22	0,140946446
42	Friulian	12	0,139759166
162	Yámana	12	0,139759166
153	Ukrainian	12	0,137664456
61	Japanese	20	0,137594964
20	Bulgarian	15	0,136144174
161	Xhosa	14	0,134929486
19	Breton	10	0,134594012
84	Mòcheno	10	0,134594012
44	Georgian	13	0,132193718
11	Aromanian	10	0,127945888
78	Latin	19	0,126181575
130	Serbo-Croatian	11	0,125928497
58	Interlingua	10	0,125711116
8	Arabic	30	0,124572181
92	Marathi	16	0,122691655
39	Faroese	12	0,122433828
56	Ingrian	8	0,122433828
83	Luxembourgish	8	0,122433828
100	North Frisian	8	0,122433828
110	Oromo	8	0,122433828
128	Scots	8	0,122433828
137	Swahili	8	0,122433828
40	Finnish	25	0,121081957
114	Persian	21	0,118693487
65	Kannada	64	0,118377353
7	Amharic	14	0,11390043
138	Swedish	24	0,1108546
38	Ewe	17	0,104861089
32	Dalmatian	8	0,10336805
88	Maltese	8	0,10082726
18	Bengali	7	0,097274477
1	Adyghe	6	0,097097548
4	Akkadian	6	0,097097548
9	Archi	6	0,097097548
15	Baluchi	6	0,097097548
26	Chechen	6	0,097097548
28	Classical Syriac	6	0,097097548
30	Coptic	6	0,097097548
57	Ingush	6	0,097097548
63	Judeo-Arabic	6	0,097097548
64	Kabuverdianu	6	0,097097548
67	Karelian	6	0,097097548
68	Kashubian	6	0,097097548
74	Kurdish	6	0,097097548
81	Livonian	6	0,097097548
94	Mingrelian	6	0,097097548
95	Mirandese	6	0,097097548
108	Old Church Slavonic	6	0,097097548
111	Ossetian	6	0,097097548
112	Pali	6	0,097097548
113	Pashto	6	0,097097548
115	Phoenician	6	0,097097548
117	Polabian	6	0,097097548
121	Romani	6	0,097097548
123	Romansch	6	0,097097548
131	Sicilian	6	0,097097548
140	Tajik	6	0,097097548
146	Tigrinya	6	0,097097548
147	Tocharian A	6	0,097097548
148	Tocharian B	6	0,097097548
150	Turoyo	6	0,097097548
152	Ugaritic	6	0,097097548
154	Urdu	6	0,097097548
158	Votic	6	0,097097548
163	Yagnobi	6	0,097097548
167	Zulu	6	0,097097548
141	Tamil	14	0,085750324
143	Tatar	8	0,083383882
96	Mongolian	29	0,080846557
156	Vietnamese	18	0,079946029
51	Hindi	38	0,074258348
55	Indonesian	8	0,056480377
101	Northern Ohlone	8	0,056480377
139	Tagalog	8	0,056480377
160	West Frisian	8	0,056480377
3	Ainu	18	0,055470294
86	Malay	13	0,053359478
104	Norwegian Bokmål	20	0,053219914
149	Turkish	27	0,049654131
27	Chinook Jargon	11	0,04762575
93	Min Nan	25	0,0450535
73	Kumyk	7	0,039622752
71	Korean	20	0,038962709
21	Burmese	7	0,038767642
14	Azerbaijani	10	0,038734842
25	Chamicuro	6	0,038437112
107	Ojibwe	6	0,038437112
126	Santali	6	0,038437112
133	Skolt Sami	6	0,038437112
145	Thai	17	0,03725459
69	Kazakh	10	0,029168411
70	Khmer	10	0,029168411
47	Greenlandic	15	0,028420116
90	Mandarin	34	0,023720331
23	Cantonese	33	0,023583925
66	Kapampangan	6	0,021104831
125	Rusyn	6	0,021104831
97	Navajo	17	0,0135486
142	Taos	17	0,010354177
77	Latgalian	6	0,005731228
144	Telugu	6	0,005731228
155	Venetian	6	0,005731228
12	Assamese	14	0,004985351
89	Manchu	14	0,004047293
75	Laboya	6	0,003662342
165	Yoruba	6	0,003662342
166	Zhuang	6	0,003662342
22	Buryat	7	0,003073601
62	Javanese	7	0,003073601
98	Nivkh	7	0,003073601
151	Tuvan	7	0,003073601
105	Norwegian Nynorsk	15	0,001242517
76	Lao	5	0,000387849
48	Gunwinggu	9	0,000276773
72	Krisa	10	0,000175987
29	Comanche	8	0
109	O'odham	8	0
132	Sinhalese	8	0
